#NAME?,4,,,
-0MGEWw692xeqwmdvsnFZw,4,,,
-4KOyf1dn0deWIbvXm_LBA,4,,,
-6rEfobYjMxpUWLNxszaxQ,1,1,,
-7OwRqGRrXbSEY2JBNkZIg,2,,,
-7hRx1ypJfHxwssUrq99gQ,5,,,
05ehdct-bF7YLTZTZvB5rA,5,,,
072tu2_MFWmw-jb1O6DQYg,5,4,,
0ALbkSzC0z7HxRjhmpElhw,2,,,
0AXnIyQxkO8_NkOsGEDIQw,5,,,
0HwN0YYwOtYwERj-eVnq0w,5,,,
0LzlRSXLhEsVSWFEvW_5yg,4,3,3,4
0P58MD0FRVI6pTVKUpd7YA,5,2,5,
0PC8m2bwvpYUprT5iAO1zw,4,,,
0UT9d_KZDZj8WqeWVQjPTA,4,,,
0fHA8u20wh1z1u0ANsiBLA,1,,,
0r9yLQkxwcdutak6uKiCaQ,4,,,
0tMV6HPZMYmEeJJPFwZe8Q,5,,,
0uM8pwyBMrAtxKJ9Ufvv_Q,4,,,
0xIQG-NrqMx5id6yJpQp8Q,5,5,4,
10dhZs996tBtJq2nd_mcRg,5,4,,
11Ydte1VfE85UHK24d4QRQ,3,,,
18I1gZMUK0CyLXPDINdw8w,5,,,
1H6JRbIch54UDXwBDzNbUQ,2,,,
1Hx--oyAcojSfqQYERNkig,5,,,
1Nn58APYG7Qz1tRiqdGCng,4,,,
1NqTU6vbr6xdI1hDUlJ_dA,5,,,
1PxFWRL7OL5uteROuWEHhA,5,2,,
1RzsEPbswFo-8fhI5h76AQ,4,,,
1Spi4UfPNf-_gVO-jk7zYA,1,,,
1VMTfE5MlQyDIRGWDSNsvA,4,,,
1Vr1Sq8FGnP-8HuD79IhbQ,4,5,,
1WqpSJymTR_FuVXOo8kxzw,2,,,
1YPFrlSsnab1jTtRdQEWjw,5,,,
1ZO_MHI5CJ-LEH_jU4Qy2Q,5,,,
1_jp_aTjqF4NaumpMRpyCw,4,,,
1a62xckjW2f4F_ol92QDug,5,,,
1dUH7QW07S4DI_okrHhG1Q,3,4,,
1f-m_nZYyNZCvVQDuW6rnA,4,,,
1giup8Tfm44sYcFoN3PmwQ,5,,,
1rW7HOKiSxiA72XaIhC01w,5,,,
1s_Ey130VOTKjMefrdMQCg,5,5,,
1yesvpTW_EGykpHK0W8ayA,1,,,
1yx0gSI8CipOtjnK7ME-lA,5,,,
1zJL9PogiFyd_NhGcbgs7Q,1,,,
1zX6tmYdu9QZHTm4fVwp0w,3,,,
20iD_hcPAC6XM5O62oQQIw,4,,,
22OgTmm9O84x7v1js4anuw,4,4,,
24CK2LX45M8c9Ps1gTVYOA,1,,,
2Cz9UMROckLwWHRt0IJMTQ,5,,,
2HPa-nvh3iOmewcS004teg,2,,,
