28,1001,2.5
9,1002,2.0
12,1002,2.0
18,1002,2.0
40,1002,2.0
3,1003,4.5
8,1003,4.5
9,1003,4.5
11,1003,4.5
17,1003,4.5
20,1003,4.5
27,1003,4.5
29,1003,4.5
30,1003,4.5
31,1003,4.5
37,1003,4.5
33,1004,1.0
4,1005,4.0
34,1005,4.0
36,1005,4.0
38,1005,4.0
42,1005,4.0
10,1006,3.0
32,1006,3.0
41,1006,3.0
2,1007,5.0
36,1008,2.5
5,1009,3.5
14,1009,3.5
32,1009,3.5
40,1009,3.5
41,1009,3.5
7,1010,3.5
9,1010,3.5
9,1010,3.5
9,1010,3.5
21,1010,3.5
26,1010,3.5
26,1010,3.5
9,1011,5.0
23,1011,5.0
8,1012,4.5
39,1013,2.5
39,1013,2.5
22,1014,4.0
42,1014,4.0
4,1015,3.5
8,1015,3.5
15,1015,3.5
36,1015,3.5
37,1015,3.5
38,1015,3.5
42,1015,3.5
36,1016,3.0
1,1017,4.0
12,1017,4.0
13,1017,4.0
18,1017,4.0
19,1017,4.0
40,1017,4.0
41,1017,4.0
24,1018,3.0
25,1019,4.0
6,1020,2.5
16,1020,2.5
35,1020,2.5
42,1020,2.5
43,1020,2.5
