user_id,review_id,text,votes.cool,business_id,votes.funny,stars,date,type,votes.useful
Xqd0DzHaiyRqVH3WRG7hzg,15SdjuK7DmYqUAj6rjGowg,"dr. goldberg offers everything i look for in a general practitioner.  he's nice and easy to talk to without being patronizing; he's always on time in seeing his patients; he's affiliated with a top-notch hospital (nyu) which my parents have explained to me is very important in case something happens and you need surgery; and you can get referrals to see specialists without having to see him first.  really, what more do you need?  i'm sitting here trying to think of any complaints i have about him, but i'm really drawing a blank.",1,vcNAWiLM4dR7D2nwwJ7nCA,0,5,5/17/2007,review,2
H1kH6QZV7Le4zqTRNxoZow,RF6UnRTtG7tWMcrO2GEoAg,"Unfortunately, the frustration of being Dr. Goldberg's patient is a repeat of the experience I've had with so many other doctors in NYC -- good doctor, terrible staff.  It seems that his staff simply never answers the phone.  It usually takes 2 hours of repeated calling to get an answer.  Who has time for that or wants to deal with it?  I have run into this problem with many other doctors and I just don't get it.  You have office workers, you have patients with medical needs, why isn't anyone answering the phone?  It's incomprehensible and not work the aggravation.  It's with regret that I feel that I have to give Dr. Goldberg 2 stars.",0,vcNAWiLM4dR7D2nwwJ7nCA,0,2,3/22/2010,review,2
KBLW4wJA_fwoWmMhiHRVOA,dNocEAyUucjT371NNND41Q,"Been going to Dr. Goldberg for over 10 years. I think I was one of his 1st patients when he started at MHMG. He's been great over the years and is really all about the big picture. It is because of him, not my now former gyn Dr. Markoff, that I found out I have fibroids. He explores all options with you and is very patient and understanding. He doesn't judge and asks all the right questions. Very thorough and wants to be kept in the loop on every aspect of your medical health and your life.",0,vcNAWiLM4dR7D2nwwJ7nCA,0,4,3/2/2012,review,0
zvJCcrpm2yOZrxKffwGQLA,ebcN2aqmNUuYNoyvQErgnA,"Got a letter in the mail last week that said Dr. Goldberg is moving to Arizona to take a new position there in June.  He will be missed very much.  

I think finding a new doctor in NYC that you actually like might almost be as awful as trying to find a date!",1,vcNAWiLM4dR7D2nwwJ7nCA,0,4,5/15/2012,review,2
Qrs3EICADUKNFoUq2iHStA,_ePLBPrkrf4bhyiKWEn4Qg,"I don't know what Dr. Goldberg was like before  moving to Arizona, but let me tell you, STAY AWAY from this doctor and this office. I was going to Dr. Johnson before he left and Goldberg took over when Johnson left. He is not a caring doctor. He is only interested in the co-pay and having you come in for medication refills every month. He will not give refills and could less about patients's financial situations. Trying to get your 90 days mail away pharmacy prescriptions through this guy is a joke. And to make matters even worse, his office staff is incompetent. 90% of the time when you call the office, they'll put you through to a voice mail, that NO ONE ever answers or returns your call. Both my adult children and husband have decided to leave this practice after experiencing such frustration. The entire office has an attitude like they are doing you a favor. Give me a break! Stay away from this doc and the practice. You deserve better and they will not be there when you really need them. I have never felt compelled to write a bad review about anyone until I met this pathetic excuse for a doctor who is all about the money.",0,vcNAWiLM4dR7D2nwwJ7nCA,0,1,4/19/2013,review,0
jE5xVugujSaskAoh2DRx3Q,kMu0knsSUFW2DZXqKkGWlg,"Top notch doctor in a top notch practice. Can't say I am surprised when I was referred to him by another doctor who I think is wonderful and because he went to one of the best medical schools in the country. 
It is really easy to get an appointment. There is minimal wait to be seen and his bedside manner is great.",0,vcNAWiLM4dR7D2nwwJ7nCA,0,5,1/2/2014,review,0
QnhQ8G51XbUpVEyWY2Km-A,onDPFgNZpMk-bT1zlForRA,"Dr. Eric Goldberg is a fantastic doctor who has correctly diagnosed every issue that my wife and I have had. Unlike many of my past doctors, Dr. Goldberg is very accessible and we have been able to schedule appointments with him and his staff very quickly. We are happy to have him in the neighborhood and look forward to being his patients for many years to come.",0,vcNAWiLM4dR7D2nwwJ7nCA,0,5,1/8/2014,review,0
tAB7GJpUuaKF4W-3P0d95A,bOJD0Kc3wGioat3oSFqgPQ,"I'm writing this review to give you a heads up before you see this Doctor. The office staff and administration are very unprofessional. I left a message with multiple people regarding my bill, and no one ever called me back. I had to hound them to get an answer about my bill. 

Second, and most important, make sure your insurance is going to cover Dr. Goldberg's visits and blood work. He recommended to me that I get a physical, and he knew I was a student because I told him. I got the physical done. Later, I found out my health insurance doesn't pay for preventative visits. I received an $800.00 bill for the blood work. I can't pay for my bill because I'm a student and don't have any cash flow at this current time. I can't believe the Doctor wouldn't give me a heads up to make sure my insurance would cover work that wasn't necessary and was strictly preventative. The office can't do anything to help me cover the bill. In addition, the office staff said the onus is on me to make sure my insurance covers visits. Frustrating situation!",0,vcNAWiLM4dR7D2nwwJ7nCA,0,1,8/1/2014,review,1
GP-h9colXgkT79BW7aDJeg,QzjRXUNSGk3PySEcg5y92g,"I love Dr. Goldberg. Best doctor I've ever had, and I've had a bunch after moving around a lot in the past 25 years. Good listener, friendly & straightforward. Always presents options and takes a ""let's try the least extreme course"" first. Office staff has improved tremendously since Dr. Johnson left. Highest recommendation.",0,vcNAWiLM4dR7D2nwwJ7nCA,0,5,12/12/2014,review,0
uK8tzraOp4M5u3uYrqIBXg,Di3exaUCFNw1V4kSNW5pgA,"All the food is great here. But the best thing they have is their wings. Their wings are simply fantastic!!  The ""Wet Cajun"" are by the best & most popular.  I also like the seasoned salt wings.  Wing Night is Monday & Wednesday night, $0.75 whole wings!

The dining area is nice. Very family friendly! The bar is very nice is well.  This place is truly a Yinzer's dream!!  ""Pittsburgh Dad"" would love this place n'at!!",0,UsFtqoBl7naz8AVUBZMjQQ,0,5,11/8/2013,review,0
